waterbody,year,mon,gear,species,len,weight,sex,age,age_strux,lennote
BLACK DAN LAKE,2012,Sep,BOOM SHOCKER,Walleye,191,NA,,NA,,Observed length
BLACK DAN LAKE,2012,Sep,BOOM SHOCKER,Walleye,196,NA,,NA,,Observed length
BLACK DAN LAKE,2012,Sep,BOOM SHOCKER,Walleye,198,NA,,NA,,Observed length
BLACK DAN LAKE,2012,Sep,BOOM SHOCKER,Walleye,211,NA,,NA,,Observed length
BLACK DAN LAKE,2012,Sep,BOOM SHOCKER,Walleye,218,NA,,NA,,Observed length
BLACK DAN LAKE,2012,Sep,BOOM SHOCKER,Walleye,251,NA,,NA,,Observed length
BLACK DAN LAKE,2012,Sep,BOOM SHOCKER,Walleye,277,NA,,NA,,Observed length
BLACK DAN LAKE,2012,Sep,BOOM SHOCKER,Walleye,312,NA,,NA,,Observed length
BLACK DAN LAKE,2012,Sep,BOOM SHOCKER,Walleye,208,NA,,NA,,Observed length
BLACK DAN LAKE,2012,Sep,BOOM SHOCKER,Walleye,208,NA,,NA,,Observed length
BLACK DAN LAKE,2012,Sep,BOOM SHOCKER,Walleye,264,NA,,NA,,Observed length
BLACK DAN LAKE,2012,Sep,BOOM SHOCKER,Walleye,264,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,150,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,163,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,213,NA,F,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,183,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,137,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,170,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,157,NA,F,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,142,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,157,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,163,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,155,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,142,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,168,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,160,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,163,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,163,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,150,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,130,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,157,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,150,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,142,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,135,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,137,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,147,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,147,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,150,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,152,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,140,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,147,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,150,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,124,NA,F,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,150,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,140,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,155,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,188,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,124,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,145,NA,F,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,155,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,157,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,142,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,170,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,168,NA,F,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,150,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,152,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,145,NA,M,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Yellow Perch,150,NA,M,NA,,Observed length
